date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:50:09	68378/68378	---M--	200	added ('OK')	image/jpeg	etag:%221803ebd-10b1a-4b9cc756%22	http://pierre.verpeaux.free.fr/ds4.JPG	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/ds4.jpg	(from http://nagi.ml/photos)
18:50:11	355438/355438	---M--	200	added ('OK')	image/png	etag:%22536b454d1b1012872a77f85909348dd0%22	https://i.imgur.com/qVaNnID.png	C:/Users/valentin/Desktop/pierreverpeaux/c/i.imgur.com/qVaNnID.png	(from http://nagi.ml/photos)
18:50:11	57738/57738	---M--	200	added ('OK')	image/jpeg	etag:%221803e0e-e18a-4b9cc739%22	http://pierre.verpeaux.free.fr/c58av2.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/c58av2.jpg	(from http://nagi.ml/photos)
18:50:15	100892/100892	---M--	200	added ('OK')	image/jpeg	etag:%221803f18-18a1c-4b9cc738%22	http://pierre.verpeaux.free.fr/c58ar1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/c58ar1.jpg	(from http://nagi.ml/photos)
18:50:21	59332/59332	---M--	200	added ('OK')	image/jpeg	etag:%221803ebe-e7c4-4b9cc73c%22	http://pierre.verpeaux.free.fr/c58pv1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/c58pv1.jpg	(from http://nagi.ml/photos)
18:50:21	61256/61256	---M--	200	added ('OK')	image/jpeg	etag:%221803ee4-ef48-4b9cc749%22	http://pierre.verpeaux.free.fr/caddyht.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/caddyht.jpg	(from http://nagi.ml/photos)
18:50:23	92359/92359	---M--	200	added ('OK')	image/jpeg	etag:%221803ebf-168c7-4b9cc739%22	http://pierre.verpeaux.free.fr/c58co1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/c58co1.jpg	(from http://nagi.ml/photos)
18:50:41	120860/120860	---M--	200	added ('OK')	image/jpeg	etag:%221803ed6-1d81c-4b9cc75b%22	http://pierre.verpeaux.free.fr/frcrois2a.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/frcrois2a.jpg	(from http://nagi.ml/photos)
18:50:42	167273/167273	---M--	200	added ('OK')	image/jpeg	etag:%2253598b75-28d69-5fb672cb%22	http://pierre.verpeaux.free.fr/FR1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/FR1.jpg	(from http://nagi.ml/photos)
18:50:49	176808/176808	---M--	200	added ('OK')	image/jpeg	etag:%221803ed3-2b2a8-4b9cc75a%22	http://pierre.verpeaux.free.fr/frcrois1a.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/frcrois1a.jpg	(from http://nagi.ml/photos)
18:51:16	328461/328461	---M--	200	added ('OK')	image/jpeg	etag:%221803ec7-5030d-4b9cc74d%22	http://pierre.verpeaux.free.fr/crois1.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/crois1.jpg	(from http://nagi.ml/photos)
18:51:28	290560/290560	---M--	200	added ('OK')	image/jpeg	etag:%221803ec8-46f00-4b9cc74d%22	http://pierre.verpeaux.free.fr/crois2.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/crois2.jpg	(from http://nagi.ml/photos)
18:51:33	100495/100495	---M--	200	added ('OK')	image/jpeg	etag:%221803edd-1888f-4b9cc767%22	http://pierre.verpeaux.free.fr/pvcroisette.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/pvcroisette.jpg	(from http://nagi.ml/photos)
18:51:36	290035/290035	---M--	200	added ('OK')	image/jpeg	etag:%221803ecb-46cf3-4b9cc74e%22	http://pierre.verpeaux.free.fr/crois5.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/crois5.jpg	(from http://nagi.ml/photos)
18:51:44	100236/100236	---M--	200	added ('OK')	image/jpeg	etag:%221803ed9-1878c-4fcb81ca%22	http://pierre.verpeaux.free.fr/rcrois2.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/rcrois2.jpg	(from http://nagi.ml/photos)
18:51:46	395350/395350	---M--	200	added ('OK')	image/jpeg	etag:%221803eca-60856-4b9cc74d%22	http://pierre.verpeaux.free.fr/crois4.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/crois4.jpg	(from http://nagi.ml/photos)
18:51:54	131648/131648	---M--	200	added ('OK')	image/jpeg	etag:%221803eda-20240-4fcb81cc%22	http://pierre.verpeaux.free.fr/rcrois3.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/rcrois3.jpg	(from http://nagi.ml/photos)
18:51:58	137707/137707	---M--	200	added ('OK')	image/jpeg	etag:%221803edb-219eb-4fcb81ce%22	http://pierre.verpeaux.free.fr/rcrois4.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/rcrois4.jpg	(from http://nagi.ml/photos)
18:52:09	60598/60598	---M--	200	added ('OK')	image/jpeg	etag:%221803f0f-ecb6-4b9cc766%22	http://pierre.verpeaux.free.fr/parisc.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/parisc.jpg	(from http://nagi.ml/photos)
18:52:12	106603/106603	---M--	200	added ('OK')	image/jpeg	etag:%221803f0e-1a06b-4b9cc766%22	http://pierre.verpeaux.free.fr/parisb.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/parisb.jpg	(from http://nagi.ml/photos)
18:52:18	57188/57188	---M--	200	added ('OK')	image/jpeg	etag:%221803f11-df64-4b9cc766%22	http://pierre.verpeaux.free.fr/parisd.jpg	C:/Users/valentin/Desktop/pierreverpeaux/c/pierre.verpeaux.free.fr/parisd.jpg	(from http://nagi.ml/photos)
